site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/7/5,RH,68,65,66,66,67,68,67,63,53,48,45,46,52,52,51,50,53,56,59,60,61,61,61,65
古亭,2021/7/6,RH,64,65,70,69,67,65,65,60,56,53,47,48,51,56,60,64,64,69,83,82,82,81,79,80
古亭,2021/7/7,RH,80,80,79,79,81,80,80,76,70,66,59,55,56,61,68,67,70,72,72,73,76,79,78,79
古亭,2021/7/8,RH,79,80,80,80,80,82,80,75,67,61,56,55,56,56,55,55,49,50,54,60,63,66,71,74
古亭,2021/7/9,RH,75,75,76,77,75,75,74,72,61,52,47,42,46,49,45,46,51,56,58,59,60,62,70,71
古亭,2021/7/10,RH,71,72,73,74,75,75,75,72,65,59,58,58,56,58,57,57,58,59,61,62,64,69,70,71
古亭,2021/7/11,RH,72,72,75,78,77,77,76,73,63,56,49,48,50,52,52,53,55,55,57,62,64,67,70,72
古亭,2021/7/12,RH,74,74,74,75,75,75,74,70,64,58,53,53,57,56,58,63,72,74,74,74,75,76,74,76
古亭,2021/7/13,RH,75,76,76,77,77,76,76,74,68,63,62,55,49,48,56,62,61,61,63,78,83,79,77,78
古亭,2021/7/14,RH,79,80,81,82,82,82,81,78,69,61,57,55,52,51,51,49,39,45,56,60,62,62,62,63
古亭,2021/7/15,RH,63,64,65,66,66,69,68,62,54,49,46,42,44,44,44,46,49,52,54,58,59,61,61,62
古亭,2021/7/16,RH,62,63,64,65,65,65,63,60,54,49,46,43,41,40,42,42,44,42,45,51,55,56,58,57
古亭,2021/7/17,RH,55,57,59,60,59,58,57,56,48,42,39,35,33,36,38,39,43,47,49,52,55,55,55,57
古亭,2021/7/18,RH,59,60,58,59,60,61,59,56,53,48,44,41,41,41,42,42,44,39,42,48,52,53,53,54
古亭,2021/7/19,RH,55,56,58,61,64,64,64,61,54,48,41,39,36,38,40,39,44,45,49,54,55,57,59,60
古亭,2021/7/20,RH,62,63,82,88,85,86,87,69,60,50,46,45,44,45,44,47,85,62,64,64,64,73,88,87
古亭,2021/7/21,RH,89,95,95,95,95,95,94,89,78,62,55,50,50,60,85,82,83,85,87,95,95,95,95,95
古亭,2021/7/22,RH,95,95,95,95,95,95,95,95,95,95,89,88,88,88,93,90,95,95,95,95,95,95,95,95
古亭,2021/7/23,RH,95,95,95,95,95,95,95,89,75,71,76,83,77,88,94,87,88,95,95,95,95,95,95,95
古亭,2021/7/24,RH,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,81,58,55,54,51,48,48,61,65
古亭,2021/7/25,RH,83,95,95,94,93,88,69,59,50,41,37,32,30,30,31,32,35,44,47,49,51,52,52,54
古亭,2021/7/26,RH,57,60,63,63,63,65,65,60,54,54,53,49,45,46,47,57,61,62,66,76,78,79,78,77
古亭,2021/7/27,RH,78,78,78,82,81,80,78,72,65,56,51,47,43,47,63,59,57,59,60,62,63,64,66,70
古亭,2021/7/28,RH,72,74,75,76,77,80,78,73,67,60,55,46,49,50,58,74,87,83,80,78,79,80,79,80
古亭,2021/7/29,RH,82,81,81,80,82,84,80,77,70,64,58,55,59,64,74,81,80,80,81,83,82,82,81,80
古亭,2021/7/30,RH,82,82,82,82,82,81,79,75,68,63,57,52,53,69,74,81,81,80,77,77,79,79,80,80
古亭,2021/7/31,RH,81,80,80,79,81,81,79,78,74,64,59,65,83,91,91,92,91,86,84,85,86,88,90,91
古亭,2021/8/1,RH,90,89,91,90,90,90,88,86,82,73,74,78,73,71,77,75,76,78,78,82,83,82,82,81
古亭,2021/8/2,RH,82,83,84,84,82,85,84,81,79,72,64,63,70,69,70,76,89,93,91,90,88,88,88,88
古亭,2021/8/3,RH,89,88,87,86,85,84,83,83,79,78,80,77,80,87,88,87,87,90,89,91,91,92,92,92
古亭,2021/8/4,RH,91,90,90,91,92,91,90,87,83,76,70,68,69,70,72,71,73,75,88,91,88,87,88,88
古亭,2021/8/5,RH,88,89,88,87,88,88,86,84,79,69,65,64,68,74,80,77,80,79,83,85,86,86,83,82
古亭,2021/8/6,RH,80,81,82,84,84,87,88,88,86,87,89,88,85,86,89,90,90,90,90,90,90,87,89,92
古亭,2021/8/7,RH,92,92,94,95,95,96,95,95,94,96,96,96,95,95,96,95,93,92,93,92,94,92,88,88
古亭,2021/8/8,RH,88,90,90,92,92,93,92,86,77,69,66,65,61,60,58,64,69,73,78,81,83,87,88,88
